symbol,timestamp_utc,open,high,low,close,volume,source,timeframe
QQQ,2012-05-18T00:00:00+00:00,54.9318,55.0837,54.0172,54.0621,89409128,stooq,1d
QQQ,2012-05-21T00:00:00+00:00,54.1594,55.6267,54.0986,55.5738,69093195,stooq,1d
QQQ,2012-05-22T00:00:00+00:00,55.7034,55.966,55.111,55.5141,70800494,stooq,1d
QQQ,2012-05-23T00:00:00+00:00,55.0554,55.7493,54.5612,55.618,64023468,stooq,1d
QQQ,2012-05-24T00:00:00+00:00,55.7034,55.7493,54.8425,55.2542,60388024,stooq,1d
QQQ,2012-05-25T00:00:00+00:00,55.3084,55.4042,55.0219,55.1796,36087078,stooq,1d
QQQ,2012-05-29T00:00:00+00:00,55.6787,56.1415,55.37,55.8855,49736645,stooq,1d
QQQ,2012-05-30T00:00:00+00:00,55.3797,55.6101,54.8327,55.4131,63466698,stooq,1d
QQQ,2012-05-31T00:00:00+00:00,55.3445,55.4876,54.7611,55.1689,62145064,stooq,1d
QQQ,2012-06-01T00:00:00+00:00,54.2023,54.514,53.6886,53.7073,80332586,stooq,1d
QQQ,2012-06-04T00:00:00+00:00,53.8485,54.1944,53.3799,54.1153,83258534,stooq,1d
QQQ,2012-06-05T00:00:00+00:00,53.9191,54.4415,53.9015,54.3388,53860769,stooq,1d
QQQ,2012-06-06T00:00:00+00:00,54.7661,55.6297,54.7052,55.5855,52499081,stooq,1d
QQQ,2012-06-07T00:00:00+00:00,56.1542,56.1728,55.3197,55.3641,43176056,stooq,1d
QQQ,2012-06-08T00:00:00+00:00,55.265,55.97,55.0847,55.8974,44690920,stooq,1d
QQQ,2012-06-11T00:00:00+00:00,56.3197,56.3483,54.9151,54.9513,57355071,stooq,1d
QQQ,2012-06-12T00:00:00+00:00,55.2013,55.6464,54.8347,55.6218,54883919,stooq,1d
QQQ,2012-06-13T00:00:00+00:00,55.4611,55.8805,55.0494,55.2377,57177147,stooq,1d
QQQ,2012-06-14T00:00:00+00:00,55.2443,55.662,54.9417,55.4415,73290927,stooq,1d
QQQ,2012-06-15T00:00:00+00:00,55.5768,56.2092,55.5671,56.1297,46602330,stooq,1d
QQQ,2012-06-18T00:00:00+00:00,55.915,56.7982,55.8063,56.6514,36116627,stooq,1d
QQQ,2012-06-19T00:00:00+00:00,56.9386,57.4846,56.8944,57.2434,40930801,stooq,1d
QQQ,2012-06-20T00:00:00+00:00,57.3493,57.5334,56.86,57.2866,57666493,stooq,1d
QQQ,2012-06-21T00:00:00+00:00,57.2188,57.3041,55.7983,55.864,47676116,stooq,1d
QQQ,2012-06-22T00:00:00+00:00,56.0306,56.5207,55.8974,56.4482,33111923,stooq,1d
QQQ,2012-06-25T00:00:00+00:00,55.9943,56.0012,55.2013,55.3641,29881027,stooq,1d
QQQ,2012-06-26T00:00:00+00:00,55.5415,55.8709,55.3025,55.7074,34332344,stooq,1d
QQQ,2012-06-27T00:00:00+00:00,55.9248,56.2993,55.864,56.0493,40055097,stooq,1d
QQQ,2012-06-28T00:00:00+00:00,55.6218,55.664,54.8347,55.4249,55865665,stooq,1d
QQQ,2012-06-29T00:00:00+00:00,56.4669,57.1737,56.3247,57.1737,50234266,stooq,1d
QQQ,2012-07-02T00:00:00+00:00,57.2355,57.3659,56.912,57.3394,37517417,stooq,1d
QQQ,2012-07-03T00:00:00+00:00,57.3659,57.8226,57.2866,57.8226,17838062,stooq,1d
QQQ,2012-07-05T00:00:00+00:00,57.7246,58.1442,57.4569,57.8581,41548334,stooq,1d
QQQ,2012-07-06T00:00:00+00:00,57.608,57.6424,56.7169,57.1384,45645911,stooq,1d
QQQ,2012-07-09T00:00:00+00:00,57.057,57.2588,56.7434,57.0285,39984304,stooq,1d
QQQ,2012-07-10T00:00:00+00:00,57.3207,57.4846,56.2454,56.4669,53122778,stooq,1d
QQQ,2012-07-11T00:00:00+00:00,56.3983,56.5492,55.6905,56.1542,48681140,stooq,1d
QQQ,2012-07-12T00:00:00+00:00,55.7355,55.864,55.1208,55.6297,64704729,stooq,1d
QQQ,2012-07-13T00:00:00+00:00,55.7444,56.6011,55.7444,56.4766,36313273,stooq,1d
QQQ,2012-07-16T00:00:00+00:00,56.3532,56.6011,56.0935,56.3158,30999676,stooq,1d
QQQ,2012-07-17T00:00:00+00:00,56.6514,56.7982,55.8063,56.6108,47658957,stooq,1d
QQQ,2012-07-18T00:00:00+00:00,56.4944,57.5473,56.4855,57.3784,49910814,stooq,1d
QQQ,2012-07-19T00:00:00+00:00,57.7796,58.1962,57.6706,58.0098,59480768,stooq,1d
QQQ,2012-07-20T00:00:00+00:00,58.0003,58.0098,57.2188,57.2434,45522885,stooq,1d
QQQ,2012-07-23T00:00:00+00:00,56.1386,56.7434,55.6994,56.5492,54595087,stooq,1d
QQQ,2012-07-24T00:00:00+00:00,56.6521,56.7257,55.7335,56.1011,64241103,stooq,1d
QQQ,2012-07-25T00:00:00+00:00,55.6817,56.0935,55.3826,55.7266,51920371,stooq,1d
QQQ,2012-07-26T00:00:00+00:00,56.5296,56.7896,56.1101,56.4669,47055272,stooq,1d
QQQ,2012-07-27T00:00:00+00:00,56.8786,57.909,56.7072,57.8059,47833451,stooq,1d
QQQ,2012-07-30T00:00:00+00:00,57.9276,58.1962,57.562,57.7619,42436254,stooq,1d
QQQ,2012-07-31T00:00:00+00:00,57.8413,58.0813,57.6884,57.7423,38820519,stooq,1d
QQQ,2012-08-01T00:00:00+00:00,58.1442,58.1708,57.3394,57.5708,34691137,stooq,1d
QQQ,2012-08-02T00:00:00+00:00,57.1217,57.9375,56.9473,57.3659,45493033,stooq,1d
